# Notification catalogue coverage (viewer-notification-catalogue).
# Every reference notifications.xml entry -> owning family, status,
# owning task. status: ported (in this task's catalogue) | done (a
# bespoke dialog task already handles it) | followup (its family's
# follow-up task owns porting it) | excluded (not actually a
# notification: a form-template element the audit swept up).
# Regenerate notes in the task file.
name	family	status	owner
GrantModifyRights	friends-people	ported	viewer-notification-catalogue-friends-people
GrantModifyRightsMultiple	friends-people	ported	viewer-notification-catalogue-friends-people
RevokeModifyRights	friends-people	ported	viewer-notification-catalogue-friends-people
RevokeModifyRightsMultiple	friends-people	ported	viewer-notification-catalogue-friends-people
GroupNameLengthWarning	groups	ported	viewer-notification-catalogue-groups
UnableToCreateGroup	groups	ported	viewer-notification-catalogue-groups
PanelGroupApply	groups	ported	viewer-notification-catalogue-groups
MustSpecifyGroupNoticeSubject	groups	ported	viewer-notification-catalogue-groups
AddGroupOwnerWarning	groups	ported	viewer-notification-catalogue-groups
AssignDangerousActionWarning	groups	ported	viewer-notification-catalogue-groups
AssignDangerousAbilityWarning	groups	ported	viewer-notification-catalogue-groups
AssignBanAbilityWarning	groups	ported	viewer-notification-catalogue-groups
RemoveBanAbilityWarning	groups	ported	viewer-notification-catalogue-groups
EjectGroupMemberWarning	groups	ported	viewer-notification-catalogue-groups
EjectGroupMembersWarning	groups	ported	viewer-notification-catalogue-groups
BanGroupMemberWarning	groups	ported	viewer-notification-catalogue-groups
BanGroupMembersWarning	groups	ported	viewer-notification-catalogue-groups
GroupBanUserOnBanlist	groups	ported	viewer-notification-catalogue-groups
AttachmentDrop	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
JoinGroupCanAfford	groups	ported	viewer-notification-catalogue-groups
JoinGroupNoCost	groups	ported	viewer-notification-catalogue-groups
JoinGroupCannotAfford	groups	ported	viewer-notification-catalogue-groups
CreateGroupCost	groups	ported	viewer-notification-catalogue-groups
JoinGroupInaccessible	groups	ported	viewer-notification-catalogue-groups
JoinGroupError	groups	ported	viewer-notification-catalogue-groups
JoinGroupErrorReason	groups	ported	viewer-notification-catalogue-groups
JoinGroupTrialUser	groups	ported	viewer-notification-catalogue-groups
JoinGroupMaxGroups	groups	ported	viewer-notification-catalogue-groups
JoinGroupClosedEnrollment	groups	ported	viewer-notification-catalogue-groups
JoinGroupInsufficientFunds	groups	ported	viewer-notification-catalogue-groups
LandBuyPass	land-parcel	ported	viewer-notification-catalogue-land-parcel
SalePriceRestriction	land-parcel	ported	viewer-notification-catalogue-land-parcel
ConfirmLandSaleChange	land-parcel	ported	viewer-notification-catalogue-land-parcel
ConfirmLandSaleToAnyoneChange	land-parcel	ported	viewer-notification-catalogue-land-parcel
ReturnObjectsDeededToGroup	objects-edit	ported	viewer-notification-catalogue-objects-edit
ReturnObjectsOwnedByUser	objects-edit	ported	viewer-notification-catalogue-objects-edit
ReturnObjectsOwnedBySelf	objects-edit	ported	viewer-notification-catalogue-objects-edit
ReturnObjectsNotOwnedBySelf	objects-edit	ported	viewer-notification-catalogue-objects-edit
ReturnObjectsNotOwnedByUser	objects-edit	ported	viewer-notification-catalogue-objects-edit
ReturnAllTopObjects	estate-region	ported	viewer-notification-catalogue-estate-region
DisableAllTopObjects	estate-region	ported	viewer-notification-catalogue-estate-region
ReturnObjectsNotOwnedByGroup	objects-edit	ported	viewer-notification-catalogue-objects-edit
UnableToDisableOutsideScripts	estate-region	ported	viewer-notification-catalogue-estate-region
MultipleFacesSelected	media-sound	ported	viewer-notification-catalogue-media-sound
MustBeInParcel	land-parcel	ported	viewer-notification-catalogue-land-parcel
PromptRecipientEmail	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
PromptSelfEmail	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
PromptMissingSubjMsg	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ErrorProcessingSnapshot	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ErrorEncodingSnapshot	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ErrorPhotoCannotAfford	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ErrorCannotAffordUpload	money-economy	ported	viewer-notification-catalogue-money-economy
ErrorEncodingImage	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ErrorTextureCannotAfford	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ErrorUploadingPostcard	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ErrorUploadingReportScreenshot	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
MustAgreeToLogIn	login-session	ported	viewer-notification-catalogue
CouldNotBuyCurrency	money-economy	ported	viewer-notification-catalogue-money-economy
CouldNotBuyCurrencyOS	money-economy	ported	viewer-notification-catalogue-money-economy
CouldNotPutOnOutfit	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
CannotWearTrash	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
MaxAttachmentsOnOutfit	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
CannotWearInfoNotComplete	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
MustEnterPasswordToLogIn	login-session	ported	viewer-notification-catalogue-login-session
MustHaveAccountToLogIn	login-session	ported	viewer-notification-catalogue-login-session
InvalidCredentialFormat	login-session	ported	viewer-notification-catalogue-login-session
InvalidGrid	login-session	ported	viewer-notification-catalogue-login-session
InvalidLocationSLURL	login-session	ported	viewer-notification-catalogue-login-session
DeleteClassified	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
DeleteMedia	media-sound	ported	viewer-notification-catalogue-media-sound
ClassifiedSave	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ClassifiedInsufficientFunds	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ProfileDeleteClassified	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ProfileDeletePick	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ProfileUnpublishedClassified	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ProfileUnsavedChanges	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
DeleteOutfits	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
DeleteOutfitsWithName	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
PromptGoToEventsPage	landmarks-navigation	ported	viewer-notification-catalogue-landmarks-navigation
SelectProposalToView	groups	ported	viewer-notification-catalogue-groups
SelectHistoryItemToView	groups	ported	viewer-notification-catalogue-groups
ResetShowNextTimeDialogs	preferences	excluded	viewer-notification-catalogue-preferences
SkipShowNextTimeDialogs	preferences	excluded	viewer-notification-catalogue-preferences
CacheWillClear	preferences	ported	viewer-notification-catalogue-preferences
DisableJavascriptBreaksSearch	preferences	ported	viewer-notification-catalogue-preferences
CacheWillBeMoved	preferences	ported	viewer-notification-catalogue-preferences
SoundCacheWillBeMoved	preferences	ported	viewer-notification-catalogue-preferences
ChangeConnectionPort	preferences	ported	viewer-notification-catalogue-preferences
ChangeDeferredDebugSetting	preferences	ported	viewer-notification-catalogue-preferences
ChangeSkin	preferences	ported	viewer-notification-catalogue-preferences
ChangeLanguage	preferences	ported	viewer-notification-catalogue-preferences
GoToAuctionPage	land-parcel	ported	viewer-notification-catalogue-land-parcel
SaveChanges	misc	ported	viewer-notification-catalogue-misc
DeleteNotecard	inventory	ported	viewer-notification-catalogue-inventory
LoadPreviousReportScreenshot	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
GestureSaveFailedTooManySteps	inventory	ported	viewer-notification-catalogue-inventory
GestureSaveFailedTryAgain	inventory	ported	viewer-notification-catalogue-inventory
GestureSaveFailedObjectNotFound	inventory	ported	viewer-notification-catalogue-inventory
GestureSaveFailedReason	inventory	ported	viewer-notification-catalogue-inventory
SaveNotecardFailObjectNotFound	inventory	ported	viewer-notification-catalogue-inventory
SaveNotecardFailReason	inventory	ported	viewer-notification-catalogue-inventory
ScriptCannotUndo	scripts	ported	viewer-notification-catalogue-scripts
SaveScriptFailObjectNotFound	scripts	ported	viewer-notification-catalogue-scripts
StartRegionEmpty	login-session	ported	viewer-notification-catalogue-login-session
CouldNotStartStopScript	scripts	ported	viewer-notification-catalogue-scripts
CannotDownloadFile	web-browser	ported	viewer-notification-catalogue-web-browser
MediaFileDownloadUnsupported	web-browser	ported	viewer-notification-catalogue-web-browser
CannotWriteFile	diagnostics	ported	viewer-notification-catalogue-diagnostics
UnsupportedHardware	diagnostics	ported	viewer-notification-catalogue-diagnostics
OldGPUDriver	diagnostics	ported	viewer-notification-catalogue-diagnostics
UnknownGPU	diagnostics	ported	viewer-notification-catalogue-diagnostics
DisplaySettingsNoShaders	diagnostics	ported	viewer-notification-catalogue-diagnostics
AutoFPSConfirmDisable	preferences	ported	viewer-notification-catalogue-preferences
AdvancedLightingConfirm	preferences	ported	viewer-notification-catalogue-preferences
ShadowsConfirm	preferences	ported	viewer-notification-catalogue-preferences
RegionNoTerraforming	estate-region	ported	viewer-notification-catalogue-estate-region
ParcelNoTerraforming	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotCopyWarning	inventory	ported	viewer-notification-catalogue-inventory
CannotGiveItem	inventory	ported	viewer-notification-catalogue-inventory
TransactionCancelled	inventory	ported	viewer-notification-catalogue-inventory
TooManyItems	inventory	ported	viewer-notification-catalogue-inventory
NoItems	inventory	ported	viewer-notification-catalogue-inventory
CannotCopyCountItems	inventory	ported	viewer-notification-catalogue-inventory
CannotGiveCategory	inventory	ported	viewer-notification-catalogue-inventory
FreezeAvatar	land-parcel	ported	viewer-notification-catalogue-land-parcel
FreezeAvatarFullname	land-parcel	ported	viewer-notification-catalogue-land-parcel
FreezeAvatarMultiple	land-parcel	ported	viewer-notification-catalogue-land-parcel
EjectAvatarFullname	land-parcel	ported	viewer-notification-catalogue-land-parcel
EjectAvatarNoBan	land-parcel	ported	viewer-notification-catalogue-land-parcel
EjectAvatarFullnameNoBan	land-parcel	ported	viewer-notification-catalogue-land-parcel
EjectAvatarMultiple	land-parcel	ported	viewer-notification-catalogue-land-parcel
EjectAvatarMultipleNoBan	land-parcel	ported	viewer-notification-catalogue-land-parcel
EjectAvatarFromGroup	groups	ported	viewer-notification-catalogue-groups
AcquireErrorTooManyObjects	objects-edit	ported	viewer-notification-catalogue-objects-edit
AcquireErrorObjectSpan	objects-edit	ported	viewer-notification-catalogue-objects-edit
PromptGoToCurrencyPage	money-economy	ported	viewer-notification-catalogue-money-economy
MuteLimitReached	friends-people	ported	viewer-notification-catalogue-friends-people
UnableToLinkObjects	objects-edit	ported	viewer-notification-catalogue-objects-edit
CannotLinkIncompleteSet	objects-edit	ported	viewer-notification-catalogue-objects-edit
CannotLinkModify	objects-edit	ported	viewer-notification-catalogue-objects-edit
CannotLinkPermanent	objects-edit	ported	viewer-notification-catalogue-objects-edit
CannotLinkAcrossRegions	objects-edit	ported	viewer-notification-catalogue-objects-edit
CannotLinkDifferentOwners	objects-edit	ported	viewer-notification-catalogue-objects-edit
NoFileExtension	diagnostics	ported	viewer-notification-catalogue-diagnostics
InvalidFileExtension	diagnostics	ported	viewer-notification-catalogue-diagnostics
CannotUploadSoundFile	media-sound	ported	viewer-notification-catalogue-media-sound
ModelUploaderMissingPhysicsApple	objects-edit	ported	viewer-notification-catalogue-objects-edit
ModelUploaderMissingPhysics	objects-edit	ported	viewer-notification-catalogue-objects-edit
SoundFileNotRIFF	media-sound	ported	viewer-notification-catalogue-media-sound
SoundFileNotPCM	media-sound	ported	viewer-notification-catalogue-media-sound
SoundFileInvalidChannelCount	media-sound	ported	viewer-notification-catalogue-media-sound
SoundFileInvalidSampleRate	media-sound	ported	viewer-notification-catalogue-media-sound
SoundFileInvalidWordSize	media-sound	ported	viewer-notification-catalogue-media-sound
SoundFileInvalidHeader	media-sound	ported	viewer-notification-catalogue-media-sound
SoundFileInvalidChunkSize	media-sound	ported	viewer-notification-catalogue-media-sound
SoundFileInvalidTooLong	media-sound	ported	viewer-notification-catalogue-media-sound
ProblemWithFile	diagnostics	ported	viewer-notification-catalogue-diagnostics
CannotOpenTemporarySoundFile	media-sound	ported	viewer-notification-catalogue-media-sound
UnknownVorbisEncodeFailure	media-sound	ported	viewer-notification-catalogue-media-sound
CannotEncodeFile	diagnostics	ported	viewer-notification-catalogue-diagnostics
CorruptedProtectedDataStore	security	ported	viewer-notification-catalogue-security
CorruptResourceFile	diagnostics	ported	viewer-notification-catalogue-diagnostics
UnknownResourceFileVersion	diagnostics	ported	viewer-notification-catalogue-diagnostics
UnableToCreateOutputFile	diagnostics	ported	viewer-notification-catalogue-diagnostics
DoNotSupportBulkAnimationUpload	avatar-movement	ported	viewer-notification-catalogue-avatar-movement
CannotUploadReason	diagnostics	ported	viewer-notification-catalogue-diagnostics
CannotUploadSnapshotEmailTooBig	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
CannotUploadSnapshotWebTooBig	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
CannotOpenFileTooBig	diagnostics	ported	viewer-notification-catalogue-diagnostics
LandmarkCreated	landmarks-navigation	ported	viewer-notification-catalogue
LandmarkAlreadyExists	landmarks-navigation	ported	viewer-notification-catalogue-landmarks-navigation
LandmarkLocationUnknown	landmarks-navigation	ported	viewer-notification-catalogue-landmarks-navigation
CannotCreateLandmarkNotOwner	landmarks-navigation	ported	viewer-notification-catalogue-landmarks-navigation
CreateLandmarkFolder	landmarks-navigation	ported	viewer-notification-catalogue-landmarks-navigation
CannotRecompileSelectObjectsNoScripts	scripts	ported	viewer-notification-catalogue-scripts
CannotRecompileSelectObjectsNoPermission	scripts	ported	viewer-notification-catalogue-scripts
CannotResetSelectObjectsNoScripts	scripts	ported	viewer-notification-catalogue-scripts
CannotdeleteSelectObjectsNoScripts	scripts	ported	viewer-notification-catalogue-scripts
CannotResetSelectObjectsNoPermission	scripts	ported	viewer-notification-catalogue-scripts
CannotOpenScriptObjectNoMod	scripts	ported	viewer-notification-catalogue-scripts
CannotSetRunningSelectObjectsNoScripts	scripts	ported	viewer-notification-catalogue-scripts
CannotSetRunningNotSelectObjectsNoScripts	scripts	ported	viewer-notification-catalogue-scripts
NoFrontmostFloater	misc	ported	viewer-notification-catalogue-misc
SeachFilteredOnShortWords	landmarks-navigation	ported	viewer-notification-catalogue-landmarks-navigation
SeachFilteredOnShortWordsEmpty	landmarks-navigation	ported	viewer-notification-catalogue-landmarks-navigation
CouldNotTeleportReason	teleport	ported	viewer-notification-catalogue-teleport
invalid_tport	teleport	ported	viewer-notification-catalogue-teleport
invalid_region_handoff	teleport	ported	viewer-notification-catalogue-teleport
blocked_tport	teleport	ported	viewer-notification-catalogue-teleport
nolandmark_tport	teleport	ported	viewer-notification-catalogue-teleport
timeout_tport	teleport	ported	viewer-notification-catalogue-teleport
noaccess_tport	teleport	ported	viewer-notification-catalogue-teleport
missing_attach_tport	teleport	ported	viewer-notification-catalogue-teleport
too_many_uploads_tport	teleport	ported	viewer-notification-catalogue-teleport
expired_tport	teleport	ported	viewer-notification-catalogue-teleport
expired_region_handoff	teleport	ported	viewer-notification-catalogue-teleport
preexisting_tport	teleport	ported	viewer-notification-catalogue-teleport
no_host	teleport	ported	viewer-notification-catalogue-teleport
no_inventory_host	inventory	ported	viewer-notification-catalogue-inventory
CannotSetLandOwnerNothingSelected	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotSetLandOwnerMultipleRegions	land-parcel	ported	viewer-notification-catalogue-land-parcel
ForceOwnerAuctionWarning	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotContentifyNothingSelected	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotContentifyNoRegion	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotReleaseLandNothingSelected	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotReleaseLandNoRegion	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotBuyLandNothingSelected	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotBuyLandNoRegion	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotCloseFloaterBuyLand	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotDeedLandNothingSelected	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotDeedLandNoGroup	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotDeedLandNoRegion	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotDeedLandMultipleSelected	land-parcel	ported	viewer-notification-catalogue-land-parcel
ParcelCanPlayMedia	media-sound	ported	viewer-notification-catalogue-media-sound
CannotDeedLandWaitingForServer	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotDeedLandNoTransfer	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotReleaseLandWatingForServer	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotReleaseLandSelected	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotReleaseLandDontOwn	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotReleaseLandRegionNotFound	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotReleaseLandNoTransfer	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotReleaseLandPartialSelection	land-parcel	ported	viewer-notification-catalogue-land-parcel
ReleaseLandWarning	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotDivideLandNothingSelected	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotDivideLandPartialSelection	land-parcel	ported	viewer-notification-catalogue-land-parcel
LandDivideWarning	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotDivideLandNoRegion	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotJoinLandNoRegion	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotJoinLandNothingSelected	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotJoinLandEntireParcelSelected	land-parcel	ported	viewer-notification-catalogue-land-parcel
CannotJoinLandSelection	land-parcel	ported	viewer-notification-catalogue-land-parcel
JoinLandWarning	land-parcel	ported	viewer-notification-catalogue-land-parcel
ConfirmNotecardSave	inventory	ported	viewer-notification-catalogue-inventory
ConfirmItemCopy	inventory	ported	viewer-notification-catalogue-inventory
ResolutionSwitchFail	preferences	ported	viewer-notification-catalogue-preferences
ErrorUndefinedGrasses	objects-edit	ported	viewer-notification-catalogue-objects-edit
ErrorUndefinedTrees	objects-edit	ported	viewer-notification-catalogue-objects-edit
CannotSaveWearableOutOfSpace	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
CannotSaveToAssetStore	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
OutOfDiskSpace	diagnostics	ported	viewer-notification-catalogue-diagnostics
YouHaveBeenLoggedOut	login-session	ported	viewer-notification-catalogue
InventoryUnusable	inventory	ported	viewer-notification-catalogue-inventory
OnlyOfficerCanBuyLand	land-parcel	ported	viewer-notification-catalogue-land-parcel
AddFriendWithMessage	friends-people	ported	viewer-notification-catalogue-friends-people
AddAutoReplaceList	im-chat	ported	viewer-notification-catalogue-im-chat
RenameAutoReplaceList	im-chat	ported	viewer-notification-catalogue-im-chat
RemoveAutoReplaceList	im-chat	ported	viewer-notification-catalogue-im-chat
InvalidAutoReplaceEntry	im-chat	ported	viewer-notification-catalogue-im-chat
InvalidAutoReplaceList	im-chat	ported	viewer-notification-catalogue-im-chat
SpellingDictImportRequired	preferences	ported	viewer-notification-catalogue-preferences
SpellingDictIsSecondary	preferences	ported	viewer-notification-catalogue-preferences
SpellingDictImportFailed	preferences	ported	viewer-notification-catalogue-preferences
SaveOutfitAs	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
SaveWearableAs	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
RenameOutfit	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
RenameGesture	inventory	ported	viewer-notification-catalogue-inventory
RenameLandmark	landmarks-navigation	ported	viewer-notification-catalogue-landmarks-navigation
RenameItem	inventory	ported	viewer-notification-catalogue-inventory
RemoveFromFriends	friends-people	ported	viewer-notification-catalogue
RemoveMultipleFromFriends	friends-people	ported	viewer-notification-catalogue-friends-people
GodDeleteAllScriptedPublicObjectsByUser	objects-edit	ported	viewer-notification-catalogue-objects-edit
GodDeleteAllScriptedObjectsByUser	objects-edit	ported	viewer-notification-catalogue-objects-edit
GodDeleteAllObjectsByUser	objects-edit	ported	viewer-notification-catalogue-objects-edit
BlankClassifiedName	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
MinClassifiedPrice	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
ConfirmItemDeleteHasLinks	inventory	ported	viewer-notification-catalogue-inventory
ConfirmObjectDeleteLock	objects-edit	ported	viewer-notification-catalogue-objects-edit
ConfirmObjectDeleteNoCopy	objects-edit	ported	viewer-notification-catalogue-objects-edit
ConfirmObjectDeleteNoOwn	objects-edit	ported	viewer-notification-catalogue-objects-edit
ConfirmObjectDeleteLockNoCopy	objects-edit	ported	viewer-notification-catalogue-objects-edit
ConfirmObjectDeleteLockNoOwn	objects-edit	ported	viewer-notification-catalogue-objects-edit
ConfirmObjectDeleteNoCopyNoOwn	objects-edit	ported	viewer-notification-catalogue-objects-edit
ConfirmObjectDeleteLockNoCopyNoOwn	objects-edit	ported	viewer-notification-catalogue-objects-edit
ConfirmObjectTakeLock	objects-edit	ported	viewer-notification-catalogue-objects-edit
ConfirmObjectTakeNoOwn	objects-edit	ported	viewer-notification-catalogue-objects-edit
ConfirmObjectTakeLockNoOwn	objects-edit	ported	viewer-notification-catalogue-objects-edit
CantBuyLandAcrossMultipleRegions	land-parcel	ported	viewer-notification-catalogue-land-parcel
DeedLandToGroup	land-parcel	ported	viewer-notification-catalogue-land-parcel
DeedLandToGroupWithContribution	land-parcel	ported	viewer-notification-catalogue-land-parcel
DisplaySetToSafe	preferences	ported	viewer-notification-catalogue-preferences
DisplaySetToRecommendedGPUChange	preferences	ported	viewer-notification-catalogue-preferences
DisplaySetToRecommendedFeatureChange	preferences	ported	viewer-notification-catalogue-preferences
ErrorMessage	misc	ported	viewer-notification-catalogue-misc
AvatarMovedDesired	teleport	ported	viewer-notification-catalogue-teleport
AvatarMovedLast	teleport	ported	viewer-notification-catalogue-teleport
AvatarMovedHome	teleport	ported	viewer-notification-catalogue-teleport
ClothingLoading	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
notifyignore	avatar-movement	excluded	viewer-notification-catalogue-avatar-movement
FirstRun	login-session	ported	viewer-notification-catalogue-login-session
LoginCantRemoveUsername	login-session	ported	viewer-notification-catalogue-login-session
LoginCantRemoveCurUsername	login-session	ported	viewer-notification-catalogue-login-session
LoginPacketNeverReceived	login-session	ported	viewer-notification-catalogue-login-session
LoginPacketNeverReceivedNoTP	login-session	ported	viewer-notification-catalogue-login-session
LoginRemoveMultiGridUserData	login-session	ported	viewer-notification-catalogue-login-session
WelcomeChooseSex	login-session	ported	viewer-notification-catalogue-login-session
CantTeleportToGrid	teleport	ported	viewer-notification-catalogue-teleport
GeneralCertificateErrorShort	security	ported	viewer-notification-catalogue-security
GeneralCertificateError	security	ported	viewer-notification-catalogue-security
TrustCertificateError	security	ported	viewer-notification-catalogue-security
NotEnoughCurrency	money-economy	ported	viewer-notification-catalogue-money-economy
GrantedModifyRights	friends-people	ported	viewer-notification-catalogue
RevokedModifyRights	friends-people	ported	viewer-notification-catalogue-friends-people
FlushMapVisibilityCaches	estate-region	ported	viewer-notification-catalogue-estate-region
BuyOneObjectOnly	money-economy	ported	viewer-notification-catalogue-money-economy
OnlyCopyContentsOfSingleItem	objects-edit	ported	viewer-notification-catalogue-objects-edit
KickUsersFromRegion	estate-region	ported	viewer-notification-catalogue-estate-region
ChangeObjectBonusFactor	estate-region	ported	viewer-notification-catalogue-estate-region
EstateObjectReturn	estate-region	ported	viewer-notification-catalogue-estate-region
InvalidTerrainBitDepth	estate-region	ported	viewer-notification-catalogue-estate-region
InvalidTerrainAlphaNotFullyLoaded	estate-region	ported	viewer-notification-catalogue-estate-region
InvalidTerrainAlpha	estate-region	ported	viewer-notification-catalogue-estate-region
